URL,Page type,Search intent,Primary keyword,Indexable,HTTP status,Canonical (self),Robots,H1 (summary),Structured data,Sitemap,Action taken
/,Home,Commercial / brand,Landscaping & swimming pool services Dubai,Yes,200,Yes,"index, follow",Landscaping & Swimming Pool Maintenance in Dubai by One Trusted Team,LocalBusiness+HomeAndConstructionBusiness / WebSite / FAQPage,Yes,Centralized business schema; removed fake stats + reviews; honest trust section
/services.html,Services hub,Commercial,Landscaping & pool services Dubai,Yes,200,Yes,"index, follow",Complete Outdoor Services,(chrome only) breadcrumbs,Yes,Verified links to all 12 services + AMC
/annual-maintenance-contracts.html,Service (offer),Commercial,Annual maintenance contract Dubai garden pool,Yes,200,Yes,"index, follow",Annual Maintenance Contracts,Service / breadcrumbs,Yes,Softened price-superiority claim; verified CTAs
/services/landscaping-dubai.html,Service,Commercial,Landscaping Dubai,Yes,200,Yes,"index, follow",Landscaping Services in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept; keyword-first H1; provider @id
/services/garden-maintenance-dubai.html,Service,Commercial,Garden maintenance Dubai,Yes,200,Yes,"index, follow",Garden Maintenance in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/swimming-pool-maintenance-dubai.html,Service,Commercial,Swimming pool maintenance Dubai,Yes,200,Yes,"index, follow",Swimming Pool Maintenance in Dubai...,Service / FAQPage / BreadcrumbList,Yes,"certified"->"trained" softening
/services/swimming-pool-cleaning-dubai.html,Service,Commercial,Swimming pool cleaning Dubai,Yes,200,Yes,"index, follow",Swimming Pool Cleaning in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/swimming-pool-repair-dubai.html,Service,Commercial,Swimming pool repair Dubai,Yes,200,Yes,"index, follow",Swimming Pool Repair in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept; workmanship guarantee flagged for owner sign-off
/services/swimming-pool-construction-dubai.html,Service,Commercial,Swimming pool construction Dubai,Yes,200,Yes,"index, follow",Swimming Pool Construction in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/irrigation-installation-repair-dubai.html,Service,Commercial,Irrigation installation repair Dubai,Yes,200,Yes,"index, follow",Irrigation Systems in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/artificial-grass-installation-dubai.html,Service,Commercial,Artificial grass installation Dubai,Yes,200,Yes,"index, follow",Artificial Grass Installation in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/pergola-shade-structures-dubai.html,Service,Commercial,Pergola & shade structures Dubai,Yes,200,Yes,"index, follow",Pergolas & Shade Structures in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/landscape-lighting-dubai.html,Service,Commercial,Landscape lighting Dubai,Yes,200,Yes,"index, follow",Landscape Lighting in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/water-features-dubai.html,Service,Commercial,Water features Dubai,Yes,200,Yes,"index, follow",Water Features in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/services/hardscaping-outdoor-upgrades-dubai.html,Service,Commercial,Hardscaping Dubai,Yes,200,Yes,"index, follow",Hardscaping & Outdoor Upgrades in Dubai...,Service / FAQPage / BreadcrumbList,Yes,Kept
/projects.html,Portfolio,Commercial investigation,Landscaping projects Dubai,Yes,200,Yes,"index, follow",Our Work Across Dubai,breadcrumbs,Yes,Stock imagery NOT labelled as owned projects (see gaps)
/areas-we-serve.html,Service-area,Local commercial,Landscaping areas Dubai,Yes,200,Yes,"index, follow",Areas We Serve Across Dubai,breadcrumbs,Yes,Removed fake-office map placeholder; added directions link
/about.html,About,Trust,About NAM Landscaping,Yes,200,Yes,"index, follow",About NAM Landscaping,AboutPage / breadcrumbs,Yes,Removed unverified licence/insurance/guarantee badges
/faq.html,FAQ,Informational,Landscaping pool FAQ Dubai,Yes,200,Yes,"index, follow",Frequently Asked Questions,FAQPage / breadcrumbs,Yes,Reframed "licensed & insured" Q honestly
/contact.html,Contact / conversion,Transactional,Contact landscaping Dubai,Yes,200,Yes,"index, follow",Book Your Free Site Visit,ContactPage / LocalBusiness / breadcrumbs,Yes,Real map embed + directions; removed fake office address
